content,final_category,target,predicted_target
Неймовірний комплекс споруд. Одне з архітектурних чудес України,Gratitude / Positive Feedback,positive,positive
"Дякую за якісну  консультацію юриста  центра Валерії Юрівній, дуже задоволена візитом. Відповіді надано професійно, доступно і зрозуміло. Питання вирішено, дуже вдячна, щиро рекомендую.",Gratitude / Positive Feedback,positive,positive
Хороший коледж з деякими викладачами досі утримую контакт. Закінчив 2008,Gratitude / Positive Feedback,positive,positive
"@nesanechkaa Прошу про допомогу.Мій дім навпроти, вибило всі вікна. Буду щиро вдячна будь-якій підтримці,бо як я зрозуміла, ЄВідновлення буде працювати після війни і то, коли створять комісії. Всім дякую за підтримку  Приват: 123 Моно: 123",Question / Request for Help,neutral,neutral
Доброго дня мені треба подати документи нагрупу галицький район,Question / Request for Help,neutral,neutral
"Так, заяву про пошкоджене майно було подано ще в квітні 2022р. Мене цікавить питання: який з етапів Е-відновлення є нашим? Нам потрібна допомога на подальшу реконструкцію будинку. Те, що ми зробили вже в відбудові, як я розумію - це самий останній етап Е-відновлення, для якого ми збираємо всі чеки. А на те, що нам  ще треба багато робіт по відбудові пройти- на це коли подавати нам заяву?",Question / Request for Help,neutral,neutral
"Навчаюся вже другий рік у IT STEP SCHOOL, дуже подобається у цій школі. Зручно, що у класі мало людей, учні доброзичливі, у моєму класі буллінг відсутня. Аудиторії просторі, з кондиціонерами, телевізорами, комп'ютерами та зручними…",Gratitude / Positive Feedback,positive,positive
"В Академії ""Щаг"" я навчаюсь лише третій місяць. Тут добре оснащення класів, цікава система викладання. Поки що з нами займається один викладач – це Кошелєва Анастасія Олександрівна. Все дуже зрозуміло та доступно пояснює, з нею цікаво…",Gratitude / Positive Feedback,positive,positive
"Зроблено на відмінно! Все швидко і якісно, не потрібно їздити в Нікополь, все під боком, супер",Gratitude / Positive Feedback,positive,positive
Відмінний коледжу пед. Усі викладачі майстри своєї справи.,Gratitude / Positive Feedback,positive,positive
"Станіслав Олександрович, найкращий викладач, дякую йому за цінні знання, за вміння змістовно подати матеріал, відзначаючи в ньому головне!!! Дякую Вам, за навчання)",Gratitude / Positive Feedback,positive,positive
"Подавав документ на заміну паспорта, все дуже сподобалось.",Gratitude / Positive Feedback,positive,positive
"Була на консультації у юриста Романа Володимировича. Консультацією задоволена, дякую.",Gratitude / Positive Feedback,positive,positive
"Дніпро – один із флагманів України у питаннях організації місцевого самоврядування. На першому поверсі знаходиться центр надання адміністративних послуг, де дуже оперативно та якісно надається значний перелік адмінпослуг. Відповідно, дуже багато відвідувачів, хоч і час очікування невеликий.",Gratitude / Positive Feedback,positive,positive
"Шукав у кого оформити операцію у вихідний день, як виявилося, все поряд.",Gratitude / Positive Feedback,positive,positive
"Закінчив у 1996 році. Здобув нормальну освіту, АЛЕ сама освіта не затребувана. Все поставлено на комерційну базу. Тішить, що не працюю із законодавством України, а лише із законодавством ЄС, США, Канади та Австралії. Діти пішли до ХАІ та…",Complaint / Dissatisfaction,negative,positive
Виконали оцінку якісно та оперативно. Звертатимуся ще. Дякую,Gratitude / Positive Feedback,positive,positive
Сьогодні оформив п'яту заявку за цей місяць. Реакції жодної. Гірше за обслуговування будинку за всю його історію не пам'ятаю.,Complaint / Dissatisfaction,negative,negative
Найкращий вищий навчальний заклад. Рекомендую 100 %,Gratitude / Positive Feedback,positive,positive
Дуже гарна міськрада. Звідки відкривається чудовий краєвид на Львів.,Gratitude / Positive Feedback,positive,positive
"Дуже шкода, що прийшлось мати справи з даним відділом соц захисту.
Крім доглянутого приміщення немає більше чим порадувати дана установа.
На довідці працюють консультанти, які дають одну інформацію, а коли приходиш на…",Complaint / Dissatisfaction,negative,negative
"Консультацію надавала Валерія Павлівна, дуже задоволена її послугами все донесла зрозуміло і обширно, допомогла мені в моєму питанню. Дякую їй за допомогу.",Gratitude / Positive Feedback,positive,positive
"Під час відвідування отримайте масу негативних емоцій. Похід сюди-це суцільний стрес. Ел. черга зайнята на місяць уперед. За ""живою"" чергою приймають, але прийти доведеться кілька разів, вистояти по кілька годин. Правила та склад документів…",Complaint / Dissatisfaction,negative,negative
"Огидна організація роботи. Огидна.
Бюрократія та некомпетентність повсюдно.
Якщо у тебе утворилася заборгованість, про яку ти не знав, то погасити її дуже…",Complaint / Dissatisfaction,negative,negative
"На вул. Героїв упа 76, тиждень жив кіт, на духу, без їжі і води, куди тільки не зверталася за допомогою,(обзвонювала  різні служби) ,  ніхто не допоміг, тільки говорили ми до вас перезвоним, звонили через три дні, і говорили що це не в…",Complaint / Dissatisfaction,negative,negative
На першому поверсі сидить диво у формі ЗСУ і лише вміє хамити. Гидко заходити в такі будівлі навіть якщо дуже треба.,Complaint / Dissatisfaction,negative,neutral
"Приїхали із друзями. Привезли корми котам, собакам, гризунам; повідці, нашийники. Нас поводили притулком, показали тварин. Ми погуляли із собаками, поспілкувалися з котиками.  Стає сумно коли чуєш гавкіт собак, коли кожен собака чекає що його заберуть.",Neutral Comment,neutral,negative
"магазинах і компаніях-партнерах програми. Тому раджу бізнесу реєструватися на порталі та ставати партнерами. Відбудовуватимемо пошкоджене росіянами разом.   Більше про єВідновлення читайте на сайті.   ▶️ https://erecovery.diia.gov.ua єВідновлення — Грошова допомога від держави на ремонт житла, пошкодженого через бойові дії Програма для тих, хто подав заявку на послугу єВідновлення в застосунку Дія. Ви можете отримати кошти, якщо не зробили ремонт самостійно.",Suggestion / Idea,neutral,neutral
"Звертаюся вже не вперше і радий, що у нас у державі є заклади такого рівня. Працівники доброзичливі та не маючи ""корони на голові"" допомагають вирішити мої питання. Сподіваюся, що менталітет, організація, урові ур
обслуговування поширюватиметься інші державні установи.",Gratitude / Positive Feedback,positive,positive
Доброго дня приходив на консультацію до Валерії Олексіївни всім задоволений на всі  запитання  тому рекомендую її як фахівця своєї справи.Безмежно вдячний))),Gratitude / Positive Feedback,positive,positive
"Стерилізували свою кішечку. Зробили за пільгою.
Персонал привітний, лікар дуже уважний. Все розповів, пояснив.
Чисто, акуратно, тихо і спокійно. Черги немає.
Дуже сподобалося. Рекомендую.",Gratitude / Positive Feedback,positive,positive
"Телефонував, питав ""вклеїти фото паспорт можна?"" Відповідь: ""так, приходьте!"" Подзвонив потім ще раз ""У якому кабінеті можна вклеїти фото у паспорт?"" ""У 102! Приходьте"". Прийшов, у кабінеті 102, мені сказали, що ""ТУТ НЕ МОЖНА ВКЛЕЇТИ ФОТО В…",Complaint / Dissatisfaction,negative,negative
"Як мама учня КРОКУ, хочу дати зворотний зв'язок даної компанії, можливо цей відгук прочитає і керівництво компанії. Дитина відвідує КРОК 5-й рік. Є свої плюси та мінуси. На жаль, мінуси з кожним роком збільшуються, а саме: професіоналізм…",Complaint / Dissatisfaction,negative,positive
"Консультаціїєю в Олександра Павловича задоволена.
Рекомендую!!!!",Gratitude / Positive Feedback,positive,positive
Був на консультації у Валери Юрьївни щодо питання нерухомості згідно вирішення моїх питань повністю задоволений,Gratitude / Positive Feedback,positive,positive
"1000 балів зі ста
Без будь-якого блату
Прийняли раніше…",Gratitude / Positive Feedback,positive,positive
"У Богуслав Благоустрій працюють дуже хамовиті дівчата. Питання вирішити не можуть, грублять. Сам Благоустрій працює жахливо, сміття з сел не вивозять, а платіжки виставляють.",Complaint / Dissatisfaction,negative,negative
Не приїхали на заздалегідь запланований виклик на перевезення пацієнта,Complaint / Dissatisfaction,negative,negative
"Повний обман та розлучення! Гроші взяли, а допомоги жодної. Затягування та відмазування. Згодом і наші номери було заблоковано, а на консультації стільки було обіцянок. Повний обман... 😠 Некомпетентний персонал. За законом Кабінету…",Complaint / Dissatisfaction,negative,negative
Сьогодні черги немає приємно я маю на увазі центр вакцинації,Gratitude / Positive Feedback,positive,positive
"Скажіть будь-ласка, чи плануєте внести Ощадбанк у програму єВідновлення?",Question / Request for Help,neutral,neutral
"Найкращий технікум! Це саме те місце, де можна отримати хороші знання, та пережити найкраще студентське життя!!!❤️",Gratitude / Positive Feedback,positive,positive
"Безмежно вдячні люботинському суду за справедливість! Вірю тепер, що в нашій країні є шанс на краще майбутнє.",Gratitude / Positive Feedback,positive,positive
"На прийом документів працює лише одне вікно. Тішить, що хоч бланки вже лежать у вільному доступі на столі при вході. Але! Ксерокса, щоб зробити копії документів, поблизу ніде немає! Також швидкість роботи залишає бажати кращого: код можна…",Complaint / Dissatisfaction,negative,negative
"Дельта Консалтинг - це команда професіоналів свого діла !
Співробітники ретально та уважно ставляться до вирішення вашого питання незалежно від його складності. Безумовно, суб'єкт оціночної діяльності ""Дельта Консалтинг"" є номером один з оцінки майна на ринку  міста Харкова та Харківської області.",Gratitude / Positive Feedback,positive,positive
"Отримав в університеті диплом по психології, був дуже задоволений навчанням, не думав що в обласному вузі буде такий   високий рівень  навчання, викладачі майстри свого діла що тільки і готові надавати матеріал. Із мінусів не сподобалася…",Gratitude / Positive Feedback,positive,positive
"Час дуже багато означає в оформленні документів. У цій компанії є безумовною пунктуальність. Люди працюють на совість. Навіть незважаючи на свята, хлопці впоралися зі своїм завданням учасно. Дякую Вам!",Gratitude / Positive Feedback,positive,positive
Дуже хороший офіс Дуже хороші люди помагають людять звертайтеся я давно до них звертаюся,Gratitude / Positive Feedback,positive,positive
"Дозвониться на реально 7456795 навіть гудок не проходе, запитую номер телефону судді Березовськоі по номеру 7456696 на що людина яка на телефоні  грубить! Відповідає хамовито! І кидає трубку",Complaint / Dissatisfaction,negative,negative
"Дуже  стало погано. Електронний сервіс самостійного запису  в приміщенні ЦНАП не працює, на прийомі один модератор, черги жахливі, на телефон не відповідають. Що сталося,  де  подівся гарний  рівень сервісу ?",Complaint / Dissatisfaction,negative,negative
"Якщо ваше питання може вирішити адміністратор можна йти дівчинки адміністратори чудові, але якщо вас хочуть записати через тиждень, місяць, рік до ""фахівця"" - не витрачайте свій час і нерви на бюрократів та хамів. Є альтернатива хіміків 50, де люди роблять свою роботу, і не забувають бути людьми.",Complaint / Dissatisfaction,negative,negative
"Відповіді на свої запитання отримав безкоштовно,Олександр Павлович майстер своєї справи.",Gratitude / Positive Feedback,positive,positive
"Хороший сервісний центр, інспектори  не валять,  добрі та лояльні",Gratitude / Positive Feedback,positive,positive
"Постійно черги, частенько запускають ""своїх"" без черг; В звичайних відвідувачів чомусь програмки постійно зависають і потрібно чекати досить довго, щоб отримати банальну довідку годинами",Complaint / Dissatisfaction,negative,negative
"Дякую Валерію Павлівну за чудово проведену роботу, за кваліфіковані консультації, відзивчивість",Gratitude / Positive Feedback,positive,positive
Справжні професіонали своєї справи. Всім рекомендую!,Gratitude / Positive Feedback,positive,positive
"Звертався до Валерія Івановича, консультацію дав найвищого рівня! Рекомендую лише це адвокатське бюро!)",Gratitude / Positive Feedback,positive,positive
Я вже вчуся тут пар місяців і мені дуже подобається. Тільки зміна за 2 пари одна на 10 хвилин.,Neutral Comment,neutral,positive
"Але! Туалети огиди. Академія сипеться, течуть стелі, холодно)) але люди тут гарні 😂…",Complaint / Dissatisfaction,negative,negative
"Захоплююче і затишне місце. Вхід ""просто погуляти"" - 20 грн. Вхід з ""просто погуляти + екскурсія всередину та розповідь про усе тривалістю 30-40 хвилин"" - 35 грн (воно того варте, всередині багато цікавого). Фотографувати дозволяється…",Gratitude / Positive Feedback,positive,positive
"Найкраще сервісний центр в Україні!Пофісіонали найвищого рівня!Експерт спеціоліст по будь якім машинам ,просто профі!!!Там все для людей!Все чістенько ,дівчата на рішепшині все розповідають і допомагають людям у вусіх питаннях!!!Золоті…",Gratitude / Positive Feedback,positive,positive
"Здавала теоретичний іспит категорія В .
Хочу подякувати персоналу СЦ , що дуже привітні та ввічливі.",Gratitude / Positive Feedback,positive,positive
"Можна піднятися на вежу. 30 грн квиток. У будівлі є туалет платний - позаду.

Багато громадський ініціатив. Персонал в Львівській раді привітний.",Neutral Comment,neutral,neutral
Сьогодні був там з Мамою. Черги не можна сказати. Все було оформлено професійно та злагоджено. Довго не чекали... Спс за все 🤗🙏…,Gratitude / Positive Feedback,positive,positive
Немає ксероксу немає паперу немає консультації немає правової допомоги некомпетентний персонал👎…,Complaint / Dissatisfaction,negative,negative
"Дуже дякуємо Адвокатському об'єднанню за допомогу у реєстрації шлюбу з іноземцем. Швидко, якісно і без нервів. Будемо рекомендувати знайомим!!!",Gratitude / Positive Feedback,positive,positive
У домашніх умовах роздрукував електронний талон прийшов за 10-хвилин до вказаного часу у мене було 09:00 викликали о 09:02 через 7-хвилин пішов. Швидко та чудово. Подавав документи на паспорт (вклеїти фото).,Gratitude / Positive Feedback,positive,positive
"Додзвонитися неможливо. Постійно немає вільних операторів.
Минулого місяця додзвонився один раз і після того ніхто на дзвінки не відповідає. Питання було щодо виплат. Відповідь ""Ви є в списках нарахування а чому не…",Complaint / Dissatisfaction,negative,negative
Все супер ! Оформила паспорт дуже швидко! Гарно фотографують !❤️,Gratitude / Positive Feedback,positive,positive
"Оперативно видали довідку.  Шкода, що у них немає копіювального апарату, щоб зробити ксерокопію. Довелося йти в Ніку навпроти поліції.",Complaint / Dissatisfaction,negative,negative
"Чернігівська область, м. Мена, вул. Сіверський шлях, буд. 146. Менський районний суд Чернігівської області",Neutral Comment,neutral,neutral
Моя дочка навчається у шостому класі. Цього року вона почала навчатися у Малій Академії Крок. Поки що ми всім задоволені. Рік тому ходили протягом десяти місяців інші комп'ютерні курси. Такого ентузіазму як у КРОКУ я не бачила. На кожне…,Gratitude / Positive Feedback,positive,positive
"Будувався як обком компартії.
Передано податковій адміністрації. Є вертолітний майданчик.
Місце похмуре.",Neutral Comment,neutral,negative
"Ваш день та Ваше життя залежать від Вас. Саме від ВАС і вашого ранку. Вірите, є спосіб зробити свій ранок справді чудовим. Як? Ця книга про це розповість: просто, доступно і на реальних прикладах. Власне розповість не тільки про чудовий ранок, а й про те, як із задоволенням робити ті речі, на які раніше не було часу\бажання\натхнення. Ця книга в стані змінити Ваше життя на краще вже сьогодні, і це правда, без жодних перебільшень.",Suggestion / Idea,neutral,positive
"Обурена! Тривога - люди на вулиці стоять, а ""своїх"" заводять у будівлю.",Complaint / Dissatisfaction,negative,negative
"Дякую.
Все швидко ,якісно і приємно. Приємно вражений змінами в системі МВС.",Gratitude / Positive Feedback,positive,positive
"Дуже вдячний за кваліфіковану допомогу.
Всім наполегливо рекомендую.",Gratitude / Positive Feedback,positive,positive
ВНЗ у жахливому стані. У зимовий період температура в аудиторіях не перевищує 8 градусів тепла. Ошаліла бюрократія та абсолютно наплювальне ставлення до студентів та співробітників.,Complaint / Dissatisfaction,negative,negative
Найкращий університет в Харкові та один з найкращих в Україні 🇺🇦…,Gratitude / Positive Feedback,positive,positive
"Квиток дешевий, і краєвиди варті того, щоб піднятися, і є на що подивитися, тому що Львів справді гарне місто.",Gratitude / Positive Feedback,positive,positive
Сьогодні поїхали до Центру вигуляти собачок та потискати кішечок. І отримали масу позитивних емоцій:)…,Gratitude / Positive Feedback,positive,positive
"зробила паспорт швидко. але коли запитали які документи треба, є паспорт та айді код, це дивно якщо йдеш робити паспорт вперше.",Complaint / Dissatisfaction,negative,neutral
"Електронна черга не працює. Пристрої закуплені і встановлені, але стоять вимкнуті. Записатись он-лайн, з допомогою телефону, неможливо. Всі питання в ручному режимі. Реєстрацію місця проживання змогли осилити з третього приїзду!!! Тричі ми витрачали час і створювали черги разом з такими ж людьми.",Complaint / Dissatisfaction,negative,negative
"Дуже гарне місце,де варто побувати,якщо ви гість Чернівців.
Ніякі слова не передадуть красу та велич.",Gratitude / Positive Feedback,positive,positive
"Краще до ЦНАПу за місцем реєстрації, проте якщо такої можливості немає, до найблищого.",Suggestion / Idea,neutral,neutral
"Красиві клени, лавочки для відпочинку
Не далеко магазини та ресторан Оберіг",Neutral Comment,neutral,negative
"Чисто затишно трохи совкове обслуговування, але його можна зрозуміти наступністю поколінь.",Gratitude / Positive Feedback,positive,neutral
"Величезна подяка співробітникам відділу нерухомості, справжні професіонали своєї справи. Вислухали проблему, увійшли до становища. Проконсультували і прийняли документи дуже швидко (не дивлячись на карантин) Дякуємо за вашу допомогу!!!",Gratitude / Positive Feedback,positive,positive
"Подавала документи, щоб фото в паспорт вклеїли, допомогли, все розповіли, а головне дуже швидко. Персонал чудовий.",Gratitude / Positive Feedback,positive,positive
"Відмінні фахівці у всьому допоможуть, роблять все швидко і дякую що ви є) 😁…",Gratitude / Positive Feedback,positive,positive
"Відмінний сервіс, все швидко, всі допомогли і дуже ввічливі. Дівчині в 5 кабінці окреме спасибі за терпіння та ввічливість 👍🏻👍🏻…",Gratitude / Positive Feedback,positive,positive
Дуже кваліфіковані інструктори та лектори. Дають відмінні теоретичні та практичні знання.,Gratitude / Positive Feedback,positive,positive
"Була на консультації у Валерії Юріївни.Консультацією задоволена,дуже вдячна",Gratitude / Positive Feedback,positive,positive
"Дякуючи фірмі ми з чоловіком - іноземцем розписалися за 4 дні. Перед тим пробували розписатися в Польщі і в Чехії, навіть зверталися до іншої фірми - не реально. Все було зроблено швидко, якісно і без нашого втручання і стресу. Особлива подяка - пані Ірені!!!",Gratitude / Positive Feedback,positive,positive
Відмінний ресторан з дуже смачною кухнею і неймовірною атмосферою)),Gratitude / Positive Feedback,positive,positive
Радимо оновити застосунок та спробувати верифікувати майно.  Над помилкою працюють спеціалісти.,Suggestion / Idea,neutral,neutral
"Побували у ветеринарній клініці КП ""Центр поводження з тваринами"". Залишилися дуже задоволені обслуговуванням центру. Провели вакцинацію нашої кішечки за 10 хвилин! Усі розповіли та пояснили з приводу наступної вакцинації приїдемо ще до вас!",Gratitude / Positive Feedback,positive,positive
"Я дуже спонтанно вирішила вдатися до курсу. Увечері десь побачила рекламу, а наступного дня вже перевела гроші. Зазвичай так не роблю, а тут все сталося дуже швидко, тому мені було трохи страшно. Але боятися не треба було жодної секунди. Що…",Gratitude / Positive Feedback,positive,negative
Все класно. Рекомендуємо вам звернутися до цієї служби,Gratitude / Positive Feedback,positive,neutral
"у всіх селах таких розмірів навкруги зроблена дорога і інфраструктура в цілому топ, а ця сільрада добре що фасад собі намалювала, а навколо вічні ями і багнюка. Дорога по селі і до заставного певно ще років 20 не буде дороблена.",Complaint / Dissatisfaction,negative,neutral
"онлайн уряд Зелєнського в дії:
""вхідний дзвінок до абонента заборонений""!
За вищевказаним номером телефона ...24525
Інші два номери теж не відповідають.",Complaint / Dissatisfaction,negative,neutral
"Враження, від Ірини Олегівни, лише найкращі! Приємна жінка та дуже компетентний фахівець! Дохідливо та докладно проконсультувала з мого питання. Підказала, як далі діяти. І, що дуже приємно вразило, не відмовила у прийомі та консультації, не дивлячись на не робочий день! Дякую Вам велике!",Gratitude / Positive Feedback,positive,positive
"Приїхала сюди після невдалої ""жахливої"" спроби здачі практичного іспиту в Києві. Почитала відгуки, приїхала і дійсно виявилось що цей сервісний центр дуже крутий. Всі адміністратори ввічливі, інспектори теж класні. Якщо чесно не очікувала…",Gratitude / Positive Feedback,positive,positive
"Роблю татуювання в цьому салоні вже вдруге і вкотре залишаюсь задоволена. Майстри відносяться до клієнтів з увагою і любовʼю, на рецепції вас проконсультують з приводу питань які вас турбують і запропонують чай з цукерочками, під час сеансу атмосфера дружня і розумієш що хочеш повернутися сюди ще раз. Щиро рекомендую ❤️",Gratitude / Positive Feedback,positive,positive
"Купа людей + два оператори = Натовп людей з талончиками. АЛЛО у вас там близько 8 -12 місць для операторів, а працюють два! стояти в черзі по три години заради якогось папірця, ви там працювати збираєтеся?",Complaint / Dissatisfaction,negative,negative
"Графік свій оновіть!!!!!!!! Люди витрачають час, щоб добратись до вас!",Complaint / Dissatisfaction,negative,neutral
"Чудовий персонал, який все підкаже та допоможе! Рекомендую!",Gratitude / Positive Feedback,positive,positive
"Ваша склянка на пів порожня, і це викликає лише жалість до вас! Людство вигадало податки і це треба або прийняти, або переїхати на безлюдний острів і не користуватися благами людства! Там навіть комунальні платити не доведеться)) не дякуйте за ідею!",Gratitude / Positive Feedback,positive,negative
"Загальноосвітня школа приємно здивувала. Я не очікувала, що навчання може бути настільки цікавим та захоплюючим. Дитина ходить на уроки із задоволенням. Викладачі з відгуків доньки просто супер.",Gratitude / Positive Feedback,positive,positive
"Про компанію взнав від знайомих чиї діти там вчаться. Сину 12 років , він дуже задоволений навчанням.",Gratitude / Positive Feedback,positive,positive
"Це просто надзвичайної краси місце .Екскурсовод (жінка) мила і знаюча свою справу людина .Неймовірні коридори , зали , є відчуття ,що дійсно ти десь у Хогвартсі .Ціна екскурсії 100 грн з людини , якщо группа більше 9 чоловік. Кожної години проводять екскурсію , збір біля входу в університет .Якщо погуляти у дворі ,то безкоштовно .",Gratitude / Positive Feedback,positive,positive
Держустанова як держустанова. Пресцентр доволі гарний,Gratitude / Positive Feedback,positive,positive
"Усе перебування з подачою документів на паспорт, оплатою, фото, відбитками пальців - меньше 20 хвилин. Дуже ввічливі й компетентні оператори
Взагалі нема ніяких черг. Дітям є де посидіти щоб не нудьгувати.…",Gratitude / Positive Feedback,positive,positive
"Свідоцтво про народження дитини ( попередньо сформоване через застосунок "" Дія"") віддали за 1 хвилину.Персонал привітний,не хамовитий.…",Gratitude / Positive Feedback,positive,positive
Оператор колл-центру дала 0 інформації. Розмовляла не чемно. Кинула слухавку.,Complaint / Dissatisfaction,negative,negative
"От приїздиш в центр Львова,не знаєш,куди далі піти,піднімаєшся на Ратушу,якихось кількасот сходів,перепочинок нагорі,спуск,і сідаєш пити в Криївці,бо очі вже все побачили,а ноги нікуди йти не хочуть:)",Neutral Comment,neutral,negative
Капремонт колись було зроблено. Де пандус?! Невже так важко було це зробити?!,Complaint / Dissatisfaction,negative,negative
"Зверталась в ЦПД Черкаси з військових питань.
Рекомендую Олександра Павловича",Gratitude / Positive Feedback,positive,positive
дуже погана компанія !!!  не рекомендую. зв'язуватися з ними.,Complaint / Dissatisfaction,negative,negative
"Уманчани,якщо хтось мріє отримати водійське посвідчення. Рекомендую уманську автошколу по вул Шевченка,1.
Працюють професіонали,навчають з нуля..",Suggestion / Idea,neutral,positive
"Закінчував цей університет і можу сказати, що якщо ти маєш бажання вчитися - викладачі і сам університет для цього тобі нададуть усі можливості. Не можу звичайно ручатися за кожен факультет, але за факультет Економіки та Права можу…",Gratitude / Positive Feedback,positive,positive
Дякую велике відділу біометрії. Все неймовірно. Людяно. Професійно.,Gratitude / Positive Feedback,positive,positive
"Звертаюся сюда неодноразово. Єдина людина, яка лояльна сумлінна, в цій установі це Корчак А.В. Яка вчасно все робить.
Всіх інших я б повиганяла.!!!…",Complaint / Dissatisfaction,negative,positive
"Лігво мегер, спілкуються так ніби я до них додому прийшла, хамлять, терпіти це місце не можу, кожен раз їм шось не підходить, і висловлюють вони це з максимальною відразою, аж гидко сюди приходили",Complaint / Dissatisfaction,negative,negative
"Дякую за консультацію Роману Володимировичу, допоміг вирішити моє питання .",Gratitude / Positive Feedback,positive,positive
Зовнішня архітектура просто неймовірна😍😍 закохалася в неї одразу. 'Вид' зсередини скоріше нагадує бідні 2000-ні😂.…,Gratitude / Positive Feedback,positive,positive
"2011 року купили квартиру. А у 2017 її продавали. Виявилося, що ще з 2013 року вона під арештом у справі старого господаря. Жодних повідомлень не надходило. І виходить, що навіть не перевіряли право власності. Кілька місяців та тис.грн.…",Complaint / Dissatisfaction,negative,negative
"Приїхав з дитиною на 10 хвилин раніше, прийняли відразу, працівники привітні, взяли документи, ознайомили з дитячим куточком, роз'яснили всі питання, процес оформлення пройшов дуже швидко і комфортно для мене (оскільки дитина грала з…",Gratitude / Positive Feedback,positive,positive
"Зробили дублікат ключа всього за 15 хвилин! Сьогодні вже спробувала, підійшло супер!
Дякую!",Gratitude / Positive Feedback,positive,positive
"Напевно, був би кращім місцем, якби не було коррупції на кожному кроці. Стикнулася с сц, коли здавала на права. Здала сама і нас таких не було навіть третини з групи, бо усі знають, що треба відвалити кілька тисяч, щоб дядька закрив очі на…",Complaint / Dissatisfaction,negative,negative
Сходи були найгіршими. Але це було того варте. Плата за вхід дешева. Ми побачили когось у костюмі Гомера Сімпсона з вишиванкою.,Gratitude / Positive Feedback,positive,neutral
"Немає нижче дна, коли людині за 1 групу інвалідності (як у мого батька) доплата 50 грн. Країна знущань!",Complaint / Dissatisfaction,negative,negative
"Прекрасний садочок, дитину водили з радістю. Педколектив,  вихователі, методист, логопед -підготували дитину до першого класу!
Дуже вдячний! Хай щастить!",Gratitude / Positive Feedback,positive,positive
"Дитина займається в Малій академії Крок. Він дуже задоволений якістю подачі інформації (все схоплюється на льоту), загальною атмосферою в академії та своїй групі. Добре налагоджено систему віддаленого навчання. У дитини є можливість не випадати із циклу. Тож на сьогоднішній день дуже задоволені підходом до навчання. Рекомендуємо",Gratitude / Positive Feedback,positive,positive
"Щоб піднятися на оглядову вежу, варто піти до мерії. З вежі відкривається вид на Старе місто. Згаданий підйом по сходах трохи втомлює, але воно того варте!",Suggestion / Idea,neutral,positive
"Дуже швидко і якісно, дякую Роману, дуже добра і чуйна людина.. приділив нам хвилину часу завдяки йому ми заощадили багато свого часу!❤️",Gratitude / Positive Feedback,positive,positive
